Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2023 Jeep Wrangler 4-Door Sahara 4x4,"$56,290",11 mi.,Sting-Gray Clearcoat,-X9,Four-wheel Drive,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, intercooled turbo, engin",1C4HJXEN8PW668357,2023-05-12 08:01:08.498061,Cars.com
2023 Chrysler Pacifica L,"$61,590",42 mi.,Brilliant Black Crystal Pearlcoat,Caramel/Black,Front-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine",2C4RC1N75PR542494,2023-05-12 08:01:10.596991,Cars.com
2023 Chrysler Pacifica Limited,"$56,285",9 mi.,Granite Crystal Metallic Clearcoat,Black/Alloy/Black,All-wheel Drive,Gasoline,Automatic,"3.6L V-6 DOHC, VVT variable valve control, engine with cylinder",2C4RC3GG6PR576789,2023-05-12 08:01:14.132873,Cars.com
2023 Jeep Grand Cherokee L Altitude,"$51,685",9 mi.,Bright White Clearcoat,Global Black,Four-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 293",1C4RJKAG6P8839092,2023-05-12 08:01:16.136611,Cars.com
2023 RAM 1500 TRX,"$98,940",15 mi.,Diamond Black Crystal Pearlcoat,Black,Four-wheel Drive,Gasoline,Automatic,"HEMI 6.2L V-8 intercooled supercharger, engine with 702HP",1C6SRFU99PN551459,2023-05-12 08:01:19.642437,Cars.com
2023 Dodge Challenger R/T Scat Pack,"$57,660",11 mi.,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,HEMI 6.4L V-8 engine with cylinder deactivation and 485HP,2C3CDZFJXPH578378,2023-05-12 08:01:22.052852,Cars.com
2023 Chrysler Pacifica Limited,"$56,090",10 mi.,Brilliant Black Crystal Pearlcoat,Black/Alloy/Black,All-wheel Drive,Gasoline,Automatic,"3.6L V-6 DOHC, VVT variable valve control, engine with cylinder",2C4RC3GG1PR544851,2023-05-12 08:01:24.019366,Cars.com
2023 Jeep Gladiator Sport S,"$50,680",72 mi.,Sting-Gray Clearcoat,Black,Four-wheel Drive,Gasoline,Automatic,"3.6L V-6 DOHC, variable valve control, engine with 285HP",1C6HJTAG0PL502410,2023-05-12 08:01:27.381250,Cars.com
2023 Dodge Charger SXT,"$42,700",10 mi.,Octane Red Pearlcoat,Black,Rear-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 292",2C3CDXBG2PH555336,2023-05-12 08:01:31.124053,Cars.com
2023 Chrysler Pacifica Limited,"$56,090",8 mi.,Brilliant Black Crystal Pearlcoat,Black/Alloy/Black,All-wheel Drive,Gasoline,Automatic,"3.6L V-6 DOHC, VVT variable valve control, engine with cylinder",2C4RC3GG6PR544764,2023-05-12 08:01:34.834590,Cars.com
2023 Jeep Grand Cherokee L Altitude,"$51,685",10 mi.,Bright White Clearcoat,Global Black,Four-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 293",1C4RJKAG4P8839091,2023-05-12 08:01:37.828803,Cars.com
2023 Jeep Gladiator Sport,"$43,065",12 mi.,Sting-Gray Clearcoat,Black,Four-wheel Drive,Gasoline,Automatic,"3.6L V-6 DOHC, variable valve control, engine with 285HP",1C6HJTAG1PL550093,2023-05-12 08:01:40.712050,Cars.com
2023 Jeep Grand Cherokee L Altitude,"$50,935",9 mi.,Bright White Clearcoat,Global Black,Four-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 293",1C4RJKAG4P8839382,2023-05-12 08:01:42.740879,Cars.com
2023 Chrysler Pacifica Limited,"$59,285",10 mi.,Bright White Clearcoat,Black/Alloy/Black,Front-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine",2C4RC1S76PR542492,2023-05-12 08:01:46.467409,Cars.com
2023 Dodge Charger Scat Pack,"$64,560",7 mi.,White Knuckle Clearcoat,-X9,Rear-wheel Drive,Gasoline,Automatic,HEMI 6.4L V-8 engine with cylinder deactivation and 485HP,2C3CDXGJXPH531645,2023-05-12 08:01:48.986925,Cars.com
2023 Jeep Grand Cherokee Summit,"$65,105",9 mi.,Bright White Clearcoat,-X7,Four-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 293",1C4RJHEG7P8838692,2023-05-12 08:01:52.363525,Cars.com
2023 Audi Q7 55 Premium,"$68,395",16 mi.,Glacier White Metallic,Black,All-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Turbo,WA1AXBF76PD016300,2023-05-12 08:02:02.505184,Cars.com
2024 BMW X7 xDrive40i,"$89,995",43 mi.,Mineral White Metallic,Coffee,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,5UX23EM06R9S28860,2023-05-12 08:02:06.203108,Cars.com
2023 BMW iX xDrive50,"$99,195",11 mi.,Storm Bay Metallic,Black,All-wheel Drive,Electric,Automatic,Electric,WB523CF07PCM96766,2023-05-12 08:02:08.580659,Cars.com
2024 BMW X7 xDrive40i,"$89,995",11 mi.,Skyscraper Gray Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,5UX23EM00R9S07986,2023-05-12 08:02:12.399917,Cars.com
2023 Volvo XC60 B5 Ultimate Dark Theme,"$6,485",2 mi.,Onyx Black Metallic,Charcoal,AWD,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,YV4L12RX8P1370569,2023-05-12 08:02:14.708131,Cars.com
2024 BMW M850 M850I XDRIVE,"$109,525",6 mi.,Black Sapphire Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L Turbo,WBABC4C04RCN60776,2023-05-12 08:02:18.284887,Cars.com
2024 BMW M440 i xDrive,"$68,520",9 mi.,Black Sapphire Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6,WBA13AR03RCN25406,2023-05-12 08:02:20.248907,Cars.com
2023 Nissan Altima 2.5 SL,"$36,145",–,Black,Light Gray,All-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4EWXPN393528,2023-05-12 08:02:23.949920,Cars.com
2023 Nissan Altima 2.5 SR,"$32,645",–,Scarlet Ember,Sport,Front-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4CV3PN394269,2023-05-12 08:02:26.445413,Cars.com
2023 Genesis GV80 2.5T,"$68,245",249 mi.,Green,Brown / Beige,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,KMUHBDSBXPU131987,2023-05-12 08:02:28.793239,Cars.com
2015 Porsche 911 Carrera S,"$65,999","47,257 mi.",White,Black,Rear-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,3.8L H6 24V GDI DOHC,WP0AB2A99FS125891,2023-05-12 08:02:31.559536,Cars.com
2023 Chevrolet Colorado 4WD Trail Boss,"$42,610",0 mi.,Sand Dune Metallic,Jet Black,Four-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.7L/,1GCPTEEK1P1137773,2023-05-12 08:02:34.173043,Cars.com
2023 Cadillac CT4-V Blackwing,"$75,689",5 mi.,Argent Silver Metallic,Jet Black,Rear-wheel Drive,Gasoline,Automatic,Turbocharged V6 3.6L/217,1G6DL5RP9P0410718,2023-05-12 08:02:36.188717,Cars.com
2023 Cadillac CT4-V Blackwing,"$86,785",5 mi.,Radiant Red Tintcoat,Sky Cool Gray,Rear-wheel Drive,Gasoline,Automatic,Turbocharged V6 3.6L/217,1G6DL5RP9P0411061,2023-05-12 08:02:39.477266,Cars.com
2023 Cadillac CT4-V Blackwing,"$75,439",5 mi.,Rift Metallic,Jet Black,Rear-wheel Drive,Gasoline,Automatic,Turbocharged V6 3.6L/217,1G6DL5RPXP0410503,2023-05-12 08:02:41.667832,Cars.com
2023 RAM 2500 Big Horn,"$61,885",5 mi.,Diamond Black,Black,Four-wheel Drive,Gasoline,Automatic,6.4L V8 16V MPFI OHV,3C6UR5DJ3PG523100,2023-05-12 08:02:44.794773,Cars.com
2023 Chevrolet Tahoe 4WD RST,"$73,010",14 mi.,Black,Jet Black/Victory Red,Four-wheel Drive,Gasoline,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",1GNSKRKD7PR362556,2023-05-12 08:02:48.153607,Cars.com
2023 Ford Mustang Mach-E California Route 1,"$60,035",5 mi.,Carbonized Gray Metallic,Black Onyx,All-wheel Drive,Electric,Automatic,Electric,3FMTK2SU5PMA17849,2023-05-12 08:02:50.211693,Cars.com
2023 Chevrolet Colorado Trail Boss,"$39,415",0 mi.,Black,Jet Black,Four-wheel Drive,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,1GCPTEEK2P1160608,2023-05-12 08:02:53.091299,Cars.com
2004 Chevrolet SSR Base,"$20,995","46,389 mi.",Ultra Violet Metallic,Ebony,Rear-wheel Drive,Gasoline,4-Speed Automatic,5.3L V8 16V MPFI OHV,1GCES14PX4B112988,2023-05-12 08:02:54.794423,Cars.com
2020 Kia Telluride S,"$31,596","66,175 mi.",Ebony Black / Black,Gray,All-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP6DHC1LG034871,2023-05-12 08:03:01.256187,Cars.com
2023 Chevrolet Colorado WT,"$37,180",1 mi.,Glacier Blue Metallic,Jet Black,Four-wheel Drive,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,1GCPTBEK3P1141791,2023-05-12 08:03:04.583024,Cars.com
2021 Kia Telluride SX,"$48,000","9,455 mi.",Ebony Black,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP5DHC3MG194786,2023-05-12 08:03:07.614398,Cars.com
2018 Toyota Sequoia Limited,"$43,000","46,186 mi.",Silver Sky Metallic,Graphite,Rear-wheel Drive,Gasoline,6-Speed Automatic,5.7L V8 32V MPFI DOHC,5TDKY5G14JS070354,2023-05-12 08:03:09.489695,Cars.com
2022 Ford Explorer Timberline,"$48,300","4,043 mi.",Agate Black Metallic,Deep Cypress,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMSK8JH0NGC15362,2023-05-12 08:03:12.103772,Cars.com
2019 Ford Ranger XLT,"$29,500","25,390 mi.",Magnetic Metallic,Medium Stone,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FTER1FHXKLA61887,2023-05-12 08:03:15.339259,Cars.com
2021 Kia Telluride EX,"$35,500","80,510 mi.",Ebony Black,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP3DHC1MG114276,2023-05-12 08:03:18.288415,Cars.com
2017 Ford F-250 King Ranch,"$43,500","97,497 mi.",White Platinum Tri-Coat Metallic,Java,Four-wheel Drive,E85 Flex Fuel,6-Speed Automatic,6.2L V8 16V MPFI SOHC Flexible Fuel,1FT7W2B61HEF11788,2023-05-12 08:03:20.286383,Cars.com
2023 Volkswagen Jetta 1.5T SE,"$26,736",10 mi.,Opal White Pearl Effect,Black,Front-wheel Drive,Gasoline,8-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,3VW7M7BU1PM023058,2023-05-12 08:03:23.601198,Cars.com
2021 Volkswagen Arteon 2.0T SE,"$29,367","19,100 mi.",Pure White,Titan Black,Front-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WVWAR7AN3ME008700,2023-05-12 08:03:27.415090,Cars.com
2023 Honda CR-V Hybrid Sport Touring,"$39,845",–,Lunar Silver Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H91PH800651,2023-05-12 08:03:30.265325,Cars.com
2023 Jeep Grand Cherokee 4xe Base,"$49,150",23 mi.,Silver Zynith,Global Black,Four-wheel Drive,Hybrid,Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1C4RJYB66P8788430,2023-05-12 08:03:33.250606,Cars.com
2022 RAM 2500 Tradesman,"$52,045",0 mi.,Billet Silver Metallic Clearcoat,Black,Four-wheel Drive,Gasoline,Automatic,6.4L V8 16V MPFI OHV,3C6UR5HJ6NG351717,2023-05-12 08:03:35.967694,Cars.com
2013 RAM 2500 Tradesman,"$23,500","79,507 mi.",Bright White / White,Black / Diesel Gray,Rear-wheel Drive,Gasoline,6-Speed Automatic,5.7L V8 16V MPFI OHV,3C6TR4CT8DG606638,2023-05-12 08:03:38.871290,Cars.com
2022 Lincoln Navigator L Black Label,"$119,600",17 mi.,Chroma Crystal Blue Metallic,Alpine,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,5LMJJ3TT5NEL13914,2023-05-12 08:03:42.342495,Cars.com
2023 Chevrolet Equinox RS,"$37,065",17 mi.,Radiant Red,Jet Black,Front-wheel Drive,Gasoline,OTHER,1.5L I4 16V GDI DOHC Turbo,3GNAXMEG8PS192629,2023-05-12 08:03:44.332225,Cars.com
2023 GMC Terrain SLT,"$40,865",6 mi.,Volcanic Red,Jet Black,All-wheel Drive,Gasoline,–,1.5L I4 16V GDI DOHC Turbo,3GKALVEG2PL208557,2023-05-12 08:03:46.912528,Cars.com
2023 GMC Terrain SLT,"$41,510",6 mi.,Ebony Twilight Metallic,Jet Black,All-wheel Drive,Gasoline,–,1.5L I4 16V GDI DOHC Turbo,3GKALVEGXPL208239,2023-05-12 08:03:50.070919,Cars.com
2023 GMC Terrain SLE,"$33,480",250 mi.,Ebony Twilight Metallic,Jet Black,Front-wheel Drive,Gasoline,–,1.5L I4 16V GDI DOHC Turbo,3GKALMEG5PL230255,2023-05-12 08:03:52.555272,Cars.com
2023 Chevrolet Silverado 3500 High Country,"$88,845",35 mi.,Greenstone,Jet Black,Four-wheel Drive,Diesel,Automatic,6.6L V8 32V DDI OHV Turbo Diesel,1GC4YVEY8PF222119,2023-05-12 08:03:54.462102,Cars.com
2023 Kia K5 EX,"$34,645",317 mi.,Everlasting Silver,Black,Front-wheel Drive,Gasoline,8-Speed Automatic,1.6L I4 16V GDI DOHC Turbo,5XXG34J29PG197840,2023-05-12 08:04:04.043362,Cars.com
2023 Honda CR-V Hybrid Sport Touring,"$39,845",10 mi.,Meteorite Gray Metallic,–,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH801720,2023-05-12 08:04:06.883399,Cars.com
2023 Honda CR-V Hybrid Sport,"$35,650",–,Platinum White,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H52PE032808,2023-05-12 08:04:09.289446,Cars.com
2018 Toyota RAV4 LE,"$23,500","64,952 mi.",Silver Sky Metallic,Ash,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,JTMBFREV5JJ220925,2023-05-12 08:04:12.934383,Cars.com
2023 GMC Sierra 2500 Pro,"$48,848",48 mi.,Summit White,Jet Black,Rear-wheel Drive,Gasoline,Automatic,Gas V8 6.6L/,1GD18LE72PF185160,2023-05-12 08:04:14.680622,Cars.com
2023 Mazda Mazda3 2.5 Turbo AWD,"$34,685",4 mi.,Machine Gray Metallic,Beige,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V GDI DOHC Turbo,JM1BPBJYXP1609492,2023-05-12 08:04:17.341559,Cars.com
2023 Mercedes-Benz Sprinter 3500XD 170 WB,"$68,062",44 mi.,Arctic White,White,Rear-wheel Drive,Diesel,Automatic,2.0L I4 16V DDI DOHC Turbo Diesel,W1Y8NC3Y1PT131482,2023-05-12 08:04:19.849783,Cars.com
2023 Mercedes-Benz Sprinter 3500XD 170 WB,"$68,062",10 mi.,Arctic White,–,Rear-wheel Drive,Diesel,Automatic,2.0L I4 16V DDI DOHC Turbo Diesel,W1Y8NC3Y1PT131904,2023-05-12 08:04:23.022226,Cars.com
2023 Ford Mustang Mach-E GT,"$71,735",6 mi.,Space White Metallic,Gray,All-wheel Drive,Electric,Automatic,Electric,3FMTK4SX5PMA17016,2023-05-12 08:04:25.138355,Cars.com
2023 Jeep Wrangler 4-Door Sahara 4x4,"$53,695",11 mi.,Black Clearcoat,Black,Four-wheel Drive,Gasoline,Automatic,"3.6L V-6 DOHC, variable valve control, engine with 285HP",1C4HJXEG0PW680519,2023-05-12 08:04:27.809065,Cars.com
2023 Chrysler Pacifica L,"$61,940",10 mi.,Bright White Clearcoat,Caramel/Black,Front-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine",2C4RC1N73PR542493,2023-05-12 08:04:29.571087,Cars.com
2023 Volkswagen Tiguan 2.0T S,"$29,015",13 mi.,Platinum Gray Metallic,Titan Black,Front-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3VVRB7AX8PM072451,2023-05-12 08:04:31.856814,Cars.com
2023 Chevrolet Colorado Trail Boss,"$39,265",10 mi.,Sterling Gray Metallic,Jet Black,Four-wheel Drive,Gasoline,–,2.7L I4 16V GDI DOHC Turbo,1GCPTEEK1P1127812,2023-05-12 08:04:35.569457,Cars.com
2023 Chevrolet Equinox LS,"$24,424",934 mi.,Summit White / White,Medium Ash Gray,Front-wheel Drive,Gasoline,Automatic,1.5L I4 16V GDI DOHC Turbo,3GNAXHEG6PL118448,2023-05-12 08:04:38.051305,Cars.com
2023 Chevrolet Silverado 2500 WT,"$45,678",0 mi.,Summit White,Jet Black,Rear-wheel Drive,Gasoline,Automatic,"6.6L V-8 gasoline direct injection, variable valve control, engi",1GB2WLE71PF145333,2023-05-12 08:04:40.513775,Cars.com
2023 Kia K5 GT-Line,"$30,935",10 mi.,Wolf Gray,Black,All-wheel Drive,Gasoline,8-Speed Automatic,1.6L I4 16V GDI DOHC Turbo,5XXG64J23PG220844,2023-05-12 08:04:43.616261,Cars.com
2023 Ford F-150 Lightning Platinum,"$96,624",–,Agate Black Metallic,–,All-wheel Drive,Electric,SINGLE SPEED,Electric,1FT6W1EV5PWG05982,2023-05-12 08:04:47.086389,Cars.com
2023 RAM 2500 Tradesman,"$49,360",9 mi.,Bright White Clearcoat,Diesel Gray / Black,Four-wheel Drive,Gasoline,Automatic,6.4L V8 16V MPFI OHV,3C6UR5CJ3PG505178,2023-05-12 08:04:50.265429,Cars.com
2022 Jeep Grand Cherokee 4xe Summit,"$58,885",56 mi.,Silver Zynith,Global Black,Four-wheel Drive,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1C4RJYE69N8765068,2023-05-12 08:04:53.293783,Cars.com
2022 RAM 2500 Laramie,"$64,995","16,275 mi.",Delmonico Red Pearlcoat,Black,Four-wheel Drive,Diesel,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,3C6UR5FL1NG108949,2023-05-12 08:04:55.760715,Cars.com
2023 Chrysler Pacifica Touring-L,"$45,915",13 mi.,Bright White Clearcoat,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V MPFI DOHC,2C4RC1BG9PR551140,2023-05-12 08:05:02.699813,Cars.com
2023 Chrysler Pacifica Touring-L,"$47,060",11 mi.,Silver Mist Clearcoat,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V MPFI DOHC,2C4RC3BG2PR570916,2023-05-12 08:05:06.051845,Cars.com
2022 Toyota Avalon Touring,"$46,733",–,Wind Chill Pearl,Black,Front-wheel Drive,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,4T1HZ1FB5NU083783,2023-05-12 08:05:07.946894,Cars.com
2022 Nissan Rogue Sport SV,"$30,443","1,056 mi.",Gun Metallic,Charcoal,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,JN1BJ1BW7NW489002,2023-05-12 08:05:10.255575,Cars.com
2018 Jaguar XE 25t,"$23,999","33,437 mi.",Indus Silver,Ebony,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,SAJAS4FX2JCP34537,2023-05-12 08:05:12.965671,Cars.com
2023 Kia Sorento X-Line EX,"$41,800",12 mi.,Wolf Gray,Black,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,5XYRHDLF2PG200518,2023-05-12 08:05:14.992447,Cars.com
2023 Kia Sportage Hybrid EX,"$33,435",11 mi.,Snow White Pearl,Black,AWD,Hybrid,Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,KNDPVCAG3P7075869,2023-05-12 08:05:16.828894,Cars.com
2023 Kia K5 EX,"$34,440",3 mi.,Sapphire Blue,Black,Front-wheel Drive,Gasoline,Automatic,"Gamma-II 1.6L I-4 gasoline direct injection, DOHC, CVVD variable",5XXG34J23PG222411,2023-05-12 08:05:19.924180,Cars.com
2023 Chevrolet Suburban LT,"$74,235",39 mi.,Black,Jet Black,Four-wheel Drive,Gasoline,OTHER,5.3L V8 16V GDI OHV,1GNSKCKD5PR339581,2023-05-12 08:05:23.201514,Cars.com
2023 GMC Canyon Base,"$49,260",0 mi.,Summit White,Jet Black/Timber,Four-wheel Drive,Gasoline,Automatic,"2.7L I-4 gasoline direct injection, DOHC, variable valve control",1GTP6DEK9P1136095,2023-05-12 08:05:26.179363,Cars.com
2023 BMW 740 i,"$101,145",11 mi.,Black Sapphire Metallic,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA23EH07PCN26519,2023-05-12 08:05:28.118020,Cars.com
