Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2019 Chevrolet Camaro 1LT,"$26,698","54,452 mi.",Silver Ice Metallic,Jet Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 GDI DOHC,1G1FB3DS4K0110501,2023-05-13 08:01:12.254735,Cars.com
2015 Audi Q3 2.0T Premium Plus,"$16,944","78,303 mi.",Cobalt Blue Metallic,Black,Front-wheel Drive,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WA1BFCFSXFR000801,2023-05-13 08:01:14.329784,Cars.com
2023 Kia Seltos S,"$26,735",18 mi.,Cherry Black,Black,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,KNDEUCAA6P7458405,2023-05-13 08:01:17.435150,Cars.com
2023 Kia K5 GT-Line,"$29,350",16 mi.,Wolf Gray,Black,Front-wheel Drive,Gasoline,Automatic,1.6L I4 16V GDI DOHC Turbo,5XXG64J25PG223020,2023-05-13 08:01:20.242845,Cars.com
2023 Mazda Mazda3 2.5 Turbo AWD,"$34,685",4 mi.,Machine Gray Metallic,Beige,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V GDI DOHC Turbo,JM1BPBJYXP1609492,2023-05-13 08:01:23.303287,Cars.com
2020 Jeep Grand Cherokee Laredo E,"$28,165","38,375 mi.",Billet Silver Metallic Clearcoat,Black,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFAG2LC209360,2023-05-13 08:01:25.947108,Cars.com
2023 Land Rover Defender 75th Edition,"$94,560",5 mi.,Grasmere Green,Ebony,Four-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,SALEW6EU8P2169189,2023-05-13 08:01:28.123326,Cars.com
2023 Land Rover Defender 110 V8,"$117,485",2 mi.,Santorini Black,Vintage Tan,Four-wheel Drive,Gasoline,Automatic,5.0L V8 32V GDI DOHC Supercharged,SALEWEEE2P2203789,2023-05-13 08:01:31.041931,Cars.com
2023 Land Rover Defender 110 V8,"$116,180",2 mi.,Yulong White,Ebony,Four-wheel Drive,Gasoline,Automatic,5.0L V8 32V GDI DOHC Supercharged,SALEWEEE2P2194589,2023-05-13 08:01:34.228505,Cars.com
2023 Ford Mustang Mach-E GT,"$71,735",6 mi.,Space White Metallic,Gray,All-wheel Drive,Electric,Automatic,Electric,3FMTK4SX5PMA17016,2023-05-13 08:01:37.807539,Cars.com
2023 Kia K5 EX,"$34,440",3 mi.,Sapphire Blue,Black,Front-wheel Drive,Gasoline,Automatic,"Gamma-II 1.6L I-4 gasoline direct injection, DOHC, CVVD variable",5XXG34J23PG222411,2023-05-13 08:01:40.529969,Cars.com
2021 Ford Mustang Mach-E GT,"$41,999","25,336 mi.",Iconic Silver Metallic,Black Onyx w/Copper Acc,All-wheel Drive,Electric,Automatic,Electric Motor,3FMTK4SE5MMD99705,2023-05-13 08:01:43.065205,Cars.com
2023 Cadillac XT6 Premium Luxury AWD,Not Priced,6 mi.,Silver Metallic,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKPDRS9PZ218096,2023-05-13 08:01:45.591344,Cars.com
2023 GMC Sierra 2500 SLE,"$71,120",5 mi.,Summit White,Jet Black,Four-wheel Drive,Diesel,Automatic,"Duramax 6.6L V-8 diesel direct injection, intercooled turbo, die",1GT49MEY0PF260628,2023-05-13 08:01:48.757690,Cars.com
2023 Jeep Wrangler 4-Door Sahara 4x4,"$56,290",11 mi.,Sting-Gray Clearcoat,-X9,Four-wheel Drive,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, intercooled turbo, engin",1C4HJXEN8PW668357,2023-05-13 08:01:51.659663,Cars.com
2023 Jeep Grand Cherokee L Altitude,"$51,685",9 mi.,Bright White Clearcoat,Global Black,Four-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 293",1C4RJKAG6P8839092,2023-05-13 08:01:54.882326,Cars.com
2023 Dodge Challenger R/T Scat Pack,"$57,660",11 mi.,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,HEMI 6.4L V-8 engine with cylinder deactivation and 485HP,2C3CDZFJXPH578378,2023-05-13 08:01:56.888918,Cars.com
2023 RAM 1500 TRX,"$98,940",15 mi.,Diamond Black Crystal Pearlcoat,Black,Four-wheel Drive,Gasoline,Automatic,"HEMI 6.2L V-8 intercooled supercharger, engine with 702HP",1C6SRFU99PN551459,2023-05-13 08:02:02.455068,Cars.com
2023 Chrysler Pacifica Limited,"$56,090",10 mi.,Brilliant Black Crystal Pearlcoat,Black/Alloy/Black,All-wheel Drive,Gasoline,Automatic,"3.6L V-6 DOHC, VVT variable valve control, engine with cylinder",2C4RC3GG1PR544851,2023-05-13 08:02:04.856085,Cars.com
2023 Jeep Gladiator Sport S,"$50,680",72 mi.,Sting-Gray Clearcoat,Black,Four-wheel Drive,Gasoline,Automatic,"3.6L V-6 DOHC, variable valve control, engine with 285HP",1C6HJTAG0PL502410,2023-05-13 08:02:08.426472,Cars.com
2023 Dodge Charger SXT,"$42,700",8 mi.,Octane Red Pearlcoat,Black,Rear-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 292",2C3CDXBG2PH555336,2023-05-13 08:02:10.280194,Cars.com
2023 Jeep Grand Cherokee L Altitude,"$51,685",10 mi.,Bright White Clearcoat,Global Black,Four-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 293",1C4RJKAG4P8839091,2023-05-13 08:02:13.260604,Cars.com
2023 Jeep Grand Cherokee Summit,"$65,105",9 mi.,Bright White Clearcoat,-X7,Four-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 293",1C4RJHEG7P8838692,2023-05-13 08:02:15.070829,Cars.com
2023 Jeep Grand Cherokee L Altitude,"$50,935",9 mi.,Bright White Clearcoat,Global Black,Four-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 293",1C4RJKAG4P8839382,2023-05-13 08:02:18.542346,Cars.com
2023 Dodge Charger Scat Pack,"$64,560",7 mi.,White Knuckle Clearcoat,-X9,Rear-wheel Drive,Gasoline,Automatic,HEMI 6.4L V-8 engine with cylinder deactivation and 485HP,2C3CDXGJXPH531645,2023-05-13 08:02:20.963820,Cars.com
2023 Chrysler Pacifica Limited,"$59,285",10 mi.,Bright White Clearcoat,Black/Alloy/Black,Front-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine",2C4RC1S76PR542492,2023-05-13 08:02:23.268406,Cars.com
2023 Jeep Gladiator Sport,"$43,065",12 mi.,Sting-Gray Clearcoat,Black,Four-wheel Drive,Gasoline,Automatic,"3.6L V-6 DOHC, variable valve control, engine with 285HP",1C6HJTAG1PL550093,2023-05-13 08:02:25.440518,Cars.com
2023 Jeep Grand Cherokee L Overland,"$61,705",296 mi.,Bright White Clearcoat,Global Black,Four-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 293",1C4RJKDG8P8736963,2023-05-13 08:02:28.434290,Cars.com
2022 Mercedes-Benz GLS 450 4MATIC,"$85,445","12,174 mi.",Black,Macchiato Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,4JGFF5KE4NA754241,2023-05-13 08:02:30.727399,Cars.com
2019 Lexus LX 570 570,"$57,777","79,518 mi.",Nebula Gray Pearl,Cabernet,Four-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 32V MPFI DOHC,JTJHY7AXXK4290420,2023-05-13 08:02:32.819926,Cars.com
2021 BMW M5 Base,"$77,445","34,913 mi.",Black Sapphire Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,WBS83CH0XMCF02319,2023-05-13 08:02:36.571704,Cars.com
2021 Mercedes-Benz GLE 450 AWD 4MATIC,"$63,776","25,780 mi.",Obsidian Black Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,4JGFB5KB7MA530008,2023-05-13 08:02:40.309736,Cars.com
2018 Chevrolet Tahoe Premier,"$43,888","49,246 mi.",Silver Ice Metallic,Jet Black,Four-wheel Drive,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKCKC0JR196683,2023-05-13 08:02:43.588191,Cars.com
2019 Porsche 718 Boxster S,"$67,888","16,402 mi.",Black,Black,Rear-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,2.5L H4 16V GDI DOHC Turbo,WP0CB2A84KS228551,2023-05-13 08:02:46.996813,Cars.com
2023 BMW 740 i,"$101,375",15 mi.,Black Sapphire Metallic,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA23EH03PCN26579,2023-05-13 08:02:49.882662,Cars.com
2021 BMW X5 xDrive40i,"$48,858","38,075 mi.",Black Sapphire Metallic,Beige,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C04M9H66446,2023-05-13 08:02:52.804592,Cars.com
2023 BMW 540 i xDrive,"$73,370",10 mi.,Alpine White,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA73BJ06PCN23660,2023-05-13 08:02:54.969222,Cars.com
2023 Nissan Altima 2.5 SR,"$30,375",–,White Pearl,Sport,Front-wheel Drive,Gasoline,Automatic Xtronic CVT,2.5L I4 16V GDI DOHC,1N4BL4CV9PN377332,2023-05-13 08:03:02.616223,Cars.com
2023 Nissan Altima 2.5 SL,"$36,540",–,White,Light Gray,All-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4EWXPN378219,2023-05-13 08:03:05.513900,Cars.com
2023 Nissan Altima 2.5 SL,"$36,145",–,Black,Light Gray,All-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4EWXPN393528,2023-05-13 08:03:08.054407,Cars.com
2015 Nissan Titan PRO-4X,"$25,399","87,520 mi.",Glacier White,Charcoal,Four-wheel Drive,Gasoline,5-Speed Automatic,5.6L V8 32V MPFI DOHC,1N6BA0EC8FN510212,2023-05-13 08:03:11.281498,Cars.com
2023 Nissan Altima 2.5 SR,"$32,645",–,Scarlet Ember,Sport,Front-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4CV3PN394269,2023-05-13 08:03:13.193706,Cars.com
2023 Hyundai Santa Fe Limited,"$44,440",9 mi.,Twilight Black,Gray,AWD,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,5NMS4DALXPH575262,2023-05-13 08:03:15.292501,Cars.com
2020 Porsche Macan S,"$51,800","33,826 mi.",Night Blue Metallic,Black,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo,WP1AB2A56LLB36350,2023-05-13 08:03:18.293334,Cars.com
2018 Jeep Wrangler JK Unlimited Sport,"$29,301","50,642 mi.",Firecracker Red Clearcoat,Black,Four-wheel Drive,Gasoline,5-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4BJWDG4JL867689,2023-05-13 08:03:20.281979,Cars.com
2021 Ford Mustang Mach-E Premium,"$43,399","22,088 mi.",Star White,Black Onyx,All-wheel Drive,Electric,1-Speed Automatic,Electric,3FMTK3SS7MMA54689,2023-05-13 08:03:22.083913,Cars.com
2023 Subaru Outback Wilderness,"$42,126",6 mi.,Crystal Black Silica,Gray,All-wheel Drive,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4BTGUD5P3207249,2023-05-13 08:03:24.491881,Cars.com
2023 Cadillac Escalade ESV Luxury,"$90,000",5 mi.,Crystal White Tricoat,Jet Black,Four-wheel Drive,Gasoline,Automatic,Gas V8 6.2L/375,1GYS4JKL2PR356587,2023-05-13 08:03:26.338275,Cars.com
2023 Cadillac Escalade ESV Premium Luxury,"$102,500",5 mi.,Black Raven,Jet Black,Four-wheel Drive,Gasoline,Automatic,Gas V8 6.2L/375,1GYS4KKL5PR366133,2023-05-13 08:03:28.505818,Cars.com
2024 Chevrolet Silverado 2500 LT,"$58,200",5 mi.,Black,Jet Black,Four-wheel Drive,Gasoline,Automatic,Gas V8 6.6L/,1GC4YNE72RF102990,2023-05-13 08:03:30.986865,Cars.com
2023 Chevrolet Silverado 2500 WT,"$45,678",0 mi.,Summit White,Jet Black,Rear-wheel Drive,Gasoline,Automatic,"6.6L V-8 gasoline direct injection, variable valve control, engi",1GB2WLE71PF145333,2023-05-13 08:03:34.191743,Cars.com
2023 Chevrolet Silverado 3500 WT,"$46,878",61 mi.,Summit White,Jet Black,Rear-wheel Drive,Gasoline,Automatic,"6.6L V-8 gasoline direct injection, variable valve control, engi",1GB5WRE75PF158568,2023-05-13 08:03:36.626143,Cars.com
2023 Toyota Highlander Hybrid Limited,"$52,153",–,Midnight Black Metallic,Black,AWD,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,5TDXBRCH7PS20C909,2023-05-13 08:03:39.045947,Cars.com
2023 Toyota Highlander Hybrid XLE,"$46,812",–,Celestial Silver Metallic,Black,AWD,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,5TDKBRCH9PS19E161,2023-05-13 08:03:40.838314,Cars.com
2016 Volkswagen e-Golf SE,"$13,165","61,907 mi.",Reflex Silver Metallic,Black,Front-wheel Drive,Electric,1-Speed Automatic,Electric,WVWKP7AU0GW914514,2023-05-13 08:03:43.037385,Cars.com
2023 Hyundai Elantra HEV Limited,"$29,930",10 mi.,Intense Blue,Black,Front-wheel Drive,Hybrid,6-Speed DCT Automatic,1.6L I4 16V GDI DOHC Hybrid,KMHLN4AJ5PU066085,2023-05-13 08:03:46.395684,Cars.com
2023 Nissan Altima 2.5 SR,"$33,040",5 mi.,Scarlet Ember,Sport,Front-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4CVXPN386766,2023-05-13 08:03:49.832646,Cars.com
2023 Honda Pilot LX,"$39,850",–,Platinum White,Gray,All-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 DOHC 24V,5FNYG1H2XPB026112,2023-05-13 08:03:58.387678,Cars.com
2023 Nissan Titan XD PRO-4X,"$63,477",9 mi.,Glacier White,Black,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,1N6AA1FB0PN103297,2023-05-13 08:04:02.042209,Cars.com
2023 Kia Seltos S,"$26,570",12 mi.,Mars Orange,Black,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,KNDEUCAA7P7466481,2023-05-13 08:04:04.186393,Cars.com
2023 Dodge Charger R/T,"$46,965",8 mi.,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,HEMI 5.7L V-8 engine with cylinder deactivation and 370HP,2C3CDXCT0PH581235,2023-05-13 08:04:06.495748,Cars.com
2023 Nissan Altima 2.5 SR,"$33,065",5 mi.,Super Black,Sport,Front-wheel Drive,Gasoline,Automatic Xtronic CVT,2.5L I4 16V GDI DOHC,1N4BL4CVXPN400634,2023-05-13 08:04:10.145661,Cars.com
2023 Nissan Titan XD PRO-4X,"$58,693",5 mi.,Gun Metallic,Black,Four-wheel Drive,Gasoline,9-Speed Automatic,5.6L V8 32V GDI DOHC,1N6AA1FB5PN113050,2023-05-13 08:04:12.200741,Cars.com
2021 Volkswagen Arteon 2.0T SE,"$29,367","19,100 mi.",Pure White,Titan Black,Front-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WVWAR7AN3ME008700,2023-05-13 08:04:14.540481,Cars.com
2020 Honda Civic Type R Touring,"$39,276","63,070 mi.",Rallye Red,Black / Red,Front-wheel Drive,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,SHHFK8G73LU201563,2023-05-13 08:04:18.018725,Cars.com
1995 Chevrolet Camaro Z28,"$18,281","38,321 mi.",Black,Black,Rear-wheel Drive,Gasoline,6-Speed Manual,5.7L V8 16V MPFI OHV,2G1FP22P5S2117658,2023-05-13 08:04:20.001380,Cars.com
2017 Honda Accord LX-S,"$21,999","53,524 mi.",Deep Blue Opal Metallic,Black,Front-wheel Drive,Gasoline,6-Speed Manual,2.4L I4 16V GDI DOHC,1HGCT1A33HA003274,2023-05-13 08:04:23.014436,Cars.com
2022 Toyota Sienna XLE,"$44,941","70,714 mi.",White,Chateau,Front-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,5TDJRKEC8NS077874,2023-05-13 08:04:25.448683,Cars.com
2015 Lexus RX 350 Base,"$23,155","82,248 mi.",White,–,Front-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,2T2ZK1BA9FC181414,2023-05-13 08:04:27.875650,Cars.com
2018 BMW 340 i xDrive,"$34,965","40,941 mi.",Melbourne Red Metallic,Black / Dark Oyster,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA8B7G57JNU95497,2023-05-13 08:04:29.779716,Cars.com
2020 Chevrolet Colorado WT,"$23,293","66,191 mi.",Black,Jet Black / Dark Ash,Rear-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,1GCHSBEA2L1233242,2023-05-13 08:04:32.092375,Cars.com
2023 Kia Telluride EX X-Line,"$47,825",5 mi.,Wolf Gray,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP3DGC4PG381630,2023-05-13 08:04:34.024728,Cars.com
2023 Kia Telluride EX,"$46,375",5 mi.,Ebony Black,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP3DGC7PG381816,2023-05-13 08:04:37.068037,Cars.com
2022 Jeep Grand Cherokee 4xe Summit,"$58,885",15 mi.,Metallic,Global Black,Four-wheel Drive,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1C4RJYE68N8762243,2023-05-13 08:04:39.551807,Cars.com
2023 Jeep Grand Cherokee 4xe Base,"$49,150",23 mi.,Silver Zynith,Global Black,Four-wheel Drive,Hybrid,Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1C4RJYB66P8788430,2023-05-13 08:04:42.588687,Cars.com
2022 Ford Bronco Black Diamond,"$50,995",534 mi.,Iconic Silver Metallic,Medium Sandstone,Four-wheel Drive,Gasoline,7-Speed Manual,2.3L I4 16V GDI DOHC Turbo,1FMDE5BH2NLB46615,2023-05-13 08:04:45.958449,Cars.com
2022 Chevrolet Silverado 3500 High Country,"$81,470",109 mi.,Black,Jet Black,Four-wheel Drive,Diesel,Automatic,6.6L V8 32V DDI OHV Turbo Diesel,2GC4YVEY7N1220804,2023-05-13 08:04:49.226966,Cars.com
2016 Audi A4 2.0T Premium Plus,"$18,991","68,242 mi.",Black,Black,All-wheel Drive,E85 Flex Fuel,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,WAUFFAFLXGN004650,2023-05-13 08:04:56.335167,Cars.com
2023 Mazda CX-5 2.5 S Carbon Edition,"$32,700",5 mi.,Polymetal Gray Metallic,Black,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBCM1P0242119,2023-05-13 08:04:59.762094,Cars.com
2023 Kia Sorento SX Prestige X-Line,"$46,005",12 mi.,Glacial White Pearl,Black,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,5XYRKDLF2PG202724,2023-05-13 08:05:03.443836,Cars.com
2023 Kia Sorento EX,"$39,400",12 mi.,Wolf Gray,Black,Front-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,5XYRH4LF4PG202447,2023-05-13 08:05:06.808161,Cars.com
2023 Mercedes-Benz S-Class S 580 4MATIC,"$148,635",45 mi.,–,Red,All-wheel Drive,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,W1K6G7GB1PA208808,2023-05-13 08:05:09.780308,Cars.com
2023 GMC Canyon Base,"$49,260",0 mi.,Summit White,Jet Black/Timber,Four-wheel Drive,Gasoline,Automatic,"2.7L I-4 gasoline direct injection, DOHC, variable valve control",1GTP6DEK9P1136095,2023-05-13 08:05:11.476786,Cars.com
2023 Mercedes-Benz EQE 350 Base 4MATIC,"$84,595",5 mi.,Polar White,–,All-wheel Drive,Electric,1-Speed Automatic,Electric,W1KEG1CB3PF027811,2023-05-13 08:05:13.593421,Cars.com
2024 BMW X5 xDrive40i,"$74,695",16 mi.,Skyscraper Gray Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,5UX23EU05R9S21687,2023-05-13 08:05:15.544136,Cars.com
2023 Subaru Outback Touring XT,"$45,014",5 mi.,Magnetite Gray Metallic,Java Brown,All-wheel Drive,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4BTGPD5P3218019,2023-05-13 08:05:19.144506,Cars.com
2024 Chevrolet Silverado 3500 LT,"$73,695",5 mi.,Dark Ash Metallic,Jet Black,Four-wheel Drive,Diesel,Automatic,Turbocharged Diesel V8 6.6L/,1GC4YTEYXRF119775,2023-05-13 08:05:21.362271,Cars.com
2021 Buick Enclave Essence,"$33,700","39,827 mi.",White Frost Tri-Coat,Shale / Ebony,All-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,5GAEVAKW5MJ101311,2023-05-13 08:05:23.696535,Cars.com
