Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2022 Mercedes-Benz GLS 450 4MATIC,"$85,445","12,235 mi.",Black,Macchiato Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,4JGFF5KE4NA754241,2023-05-14 08:01:10.459450,Cars.com
2022 Ford Mustang Mach 1,"$53,987","8,940 mi.",Grabber Blue,Ebony,Rear-wheel Drive,Gasoline,6-Speed Manual,5.0L V8 32V PDI DOHC,1FA6P8R0XN5550913,2023-05-14 08:01:14.088113,Cars.com
2023 BMW 740 i,"$101,375",15 mi.,Black Sapphire Metallic,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA23EH03PCN26579,2023-05-14 08:01:17.290038,Cars.com
2024 BMW X7 xDrive40i,"$94,245",11 mi.,Mineral White Metallic,Coffee,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,5UX23EM08R9S21280,2023-05-14 08:01:19.703166,Cars.com
2023 Mercedes-Benz GLC 300 ,"$64,865",190 mi.,Blue,–,–,Gasoline,9-Speed Automatic,I4,W1NKM4HB1PU019873,2023-05-14 08:01:23.142048,Cars.com
2018 BMW M760 i xDrive,"$64,822","49,155 mi.",Gray / Black,Fiona Red / Black,All-wheel Drive,Gasoline,8-Speed Automatic,6.6L V12 48V GDI DOHC Twin Turbo,WBA7H6C53JG614886,2023-05-14 08:01:25.859713,Cars.com
2023 BMW 540 i xDrive,"$74,520",10 mi.,Carbon Black Metallic,Cognac,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA73BJ07PCN21786,2023-05-14 08:01:29.838267,Cars.com
2015 Nissan Titan PRO-4X,"$25,399","87,520 mi.",Glacier White,Charcoal,Four-wheel Drive,Gasoline,5-Speed Automatic,5.6L V8 32V MPFI DOHC,1N6BA0EC8FN510212,2023-05-14 08:01:33.375702,Cars.com
2023 Hyundai Santa Fe Limited,"$44,440",9 mi.,Twilight Black,Gray,AWD,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,5NMS4DALXPH575262,2023-05-14 08:01:36.972842,Cars.com
2023 Hyundai Santa Cruz 2.5T SEL Premium,"$39,840",23 mi.,Phantom Black,Gray,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,5NTJDDAFXPH067271,2023-05-14 08:01:38.840173,Cars.com
2014 BMW 428 i,"$15,938","121,450 mi.",Mineral Gray Metallic,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA3V5C5XEJ968978,2023-05-14 08:01:40.699731,Cars.com
2015 Audi A7 3.0T Prestige,"$25,498","76,273 mi.",Daytona Gray Pearl,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,WAU2GAFC1FN002893,2023-05-14 08:01:43.545354,Cars.com
2023 Audi A5 45 S line Premium Plus,"$58,331","6,635 mi.",Mythos Black Metallic w/ Black Roof,Black,All-wheel Drive,Gasoline,Automatic,2.0L,WAU4AGF51PN001114,2023-05-14 08:01:45.257012,Cars.com
2017 Mercedes-Benz SLC 300 Base,"$27,241","60,652 mi.",Polar White,Shara Beige,Rear-wheel Drive,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WDDPK3JA5HF141212,2023-05-14 08:01:47.593381,Cars.com
2023 Volkswagen Tiguan 2.0T SE,"$34,384",6 mi.,Deep Black Pearl Effect,Black,Front-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3VVNB7AX2PM088143,2023-05-14 08:01:51.679405,Cars.com
2021 Ford Bronco Badlands,"$48,905","8,589 mi.",Cyber Orange Metallic Tricoat,Black Onyx,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMDE5CH7MLA64361,2023-05-14 08:01:55.277272,Cars.com
2023 Hyundai Santa Cruz 2.5T Limited,"$41,810",9 mi.,Atlas,Black,All-wheel Drive,Gasoline,SHIFTRONIC,2.5L I4 16V PDI DOHC Turbo,5NTJEDAF1PH067219,2023-05-14 08:01:58.383693,Cars.com
2021 Ford Bronco First Edition,"$68,500","3,368 mi.",Green,Dark Space Gray,Four-wheel Drive,Gasoline,10-Speed Automatic,2.7L V6 24V GDI DOHC Turbo,1FMDE5FP6MLA20337,2023-05-14 08:02:01.927510,Cars.com
2022 Ford F-250 XL,"$42,060",–,Oxford White,Medium Earth Gray,Rear-wheel Drive,E85 Flex Fuel,6-Speed Automatic,6.2L V8 16V MPFI SOHC Flexible Fuel,1FTBF2A66NEG45767,2023-05-14 08:02:11.814020,Cars.com
2022 Volvo XC90 T6 Inscription 7 Passenger,"$78,745",7 mi.,Savile Gray Metallic,Charcoal,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,YV4A22PL5N1866821,2023-05-14 08:02:13.664650,Cars.com
2023 Dodge Charger R/T,"$46,965",8 mi.,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,HEMI 5.7L V-8 engine with cylinder deactivation and 370HP,2C3CDXCT0PH581235,2023-05-14 08:02:16.593075,Cars.com
2023 Toyota 4Runner SR5 Premium,"$47,284",5 mi.,Magnetic Gray Metallic,Black / Graphite,Four-wheel Drive,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTENU5JR2P6147573,2023-05-14 08:02:18.787296,Cars.com
2023 Toyota 4Runner TRD Off Road Premium,"$48,437",–,Midnight Black Metallic,Black / Graphite,Four-wheel Drive,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTERU5JR6P6144676,2023-05-14 08:02:21.618056,Cars.com
2016 Volkswagen e-Golf SE,"$13,165","61,907 mi.",Reflex Silver Metallic,Black,Front-wheel Drive,Electric,1-Speed Automatic,Electric,WVWKP7AU0GW914514,2023-05-14 08:02:24.549017,Cars.com
2023 Genesis GV70 2.5T,"$55,085",10 mi.,Melbourne Gray,Pine Grove,All-wheel Drive,Gasoline,8-Speed Automatic with SHIFTRONIC,2.5L I4 16V PDI DOHC Turbo,KMUMADTB8PU119613,2023-05-14 08:02:27.422184,Cars.com
2023 Nissan Altima 2.5 SR,"$33,065",5 mi.,Super Black,Sport,Front-wheel Drive,Gasoline,Automatic Xtronic CVT,2.5L I4 16V GDI DOHC,1N4BL4CVXPN400634,2023-05-14 08:02:29.507795,Cars.com
2021 Volkswagen Tiguan 2.0T S,"$24,357","16,230 mi.",Deep Black Pearl Effect,Titan Black,Front-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3VV1B7AX4MM047958,2023-05-14 08:02:32.875738,Cars.com
2022 Volkswagen Atlas 2.0T SEL,"$36,975","35,519 mi.",Deep Black Pearl Effect,Beige,All-wheel Drive,Gasoline,8-Speed Automatic with Tiptronic,2.0L I4 16V GDI DOHC Turbo,1V2BP2CA7NC503016,2023-05-14 08:02:36.613146,Cars.com
2020 Honda Civic Type R Touring,"$39,276","63,070 mi.",Rallye Red,Black / Red,Front-wheel Drive,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,SHHFK8G73LU201563,2023-05-14 08:02:39.699910,Cars.com
2017 Honda Accord LX-S,"$21,999","53,524 mi.",Deep Blue Opal Metallic,Black,Front-wheel Drive,Gasoline,6-Speed Manual,2.4L I4 16V GDI DOHC,1HGCT1A33HA003274,2023-05-14 08:02:42.794018,Cars.com
2022 Ford F-150 Lightning ,"$75,000","1,870 mi.",Black,–,All-wheel Drive,Electric,1-Speed Automatic,Electric,1FTVW1EL7NWG15257,2023-05-14 08:02:46.371680,Cars.com
2023 Kia Forte LXS,"$21,610",10 mi.,Aurora Black Pearl,Gray,Front-wheel Drive,Gasoline,IVT,2.0L I4 16V MPFI DOHC,3KPF24AD1PE627191,2023-05-14 08:02:49.351412,Cars.com
2022 Jeep Grand Cherokee 4xe Summit,"$58,885",15 mi.,Metallic,Global Black,Four-wheel Drive,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1C4RJYE68N8762243,2023-05-14 08:02:51.534150,Cars.com
2023 Jeep Grand Cherokee 4xe Base,"$49,150",23 mi.,Silver Zynith,Global Black,Four-wheel Drive,Hybrid,Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1C4RJYB66P8788430,2023-05-14 08:02:54.180168,Cars.com
2018 Acura TLX V6 Advance,"$22,995","78,743 mi.",Bellanova White Pearl,Parchment,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,19UUB2F76JA003879,2023-05-14 08:02:56.530855,Cars.com
2021 Ford Mustang Mach-E Premium,"$41,995","19,126 mi.",Shadow Black,–,All-wheel Drive,Electric,1-Speed Automatic,Electric,3FMTK3SU9MMA03745,2023-05-14 08:02:59.960685,Cars.com
2023 Ford F-250 Lariat,"$95,885",–,Gray Metallic,Black Onyx,Four-wheel Drive,Diesel,Automatic,6.7L V8 32V DDI OHV Turbo Diesel,1FT8W2BT3PEC24252,2023-05-14 08:03:03.344079,Cars.com
2023 Toyota Tundra Hybrid Capstone,"$75,995","1,095 mi.",Magnetic Gray Metallic,Black / White,Four-wheel Drive,Hybrid,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,5TFVC5DB1PX018434,2023-05-14 08:03:05.284026,Cars.com
2023 Hyundai Palisade SEL,"$42,900",5 mi.,Abyss Black Pearl,Gray / Black,All-wheel Drive,Gasoline,8-Speed Automatic with SHIFTRONIC,3.8L V6 24V GDI DOHC,KM8R2DGE9PU611878,2023-05-14 08:03:09.701294,Cars.com
2023 Hyundai Palisade SEL,"$47,890",5 mi.,Abyss Black Pearl,Black,All-wheel Drive,Gasoline,8-Speed Automatic with SHIFTRONIC,3.8L V6 24V GDI DOHC,KM8R4DGE3PU615693,2023-05-14 08:03:11.548856,Cars.com
2023 Nissan ARIYA VENTURE+,"$48,525",–,Black Diamond,Charcoal,Front-wheel Drive,Electric,Automatic,Electric,JN1BF0AA7PM408225,2023-05-14 08:03:14.879258,Cars.com
2023 Toyota Highlander L,"$39,093",–,Wind Chill Pearl,Graphite,Front-wheel Drive,Gasoline,Automatic,2.4L I4 16V PDI DOHC Turbo,5TDKDRAHXPS032970,2023-05-14 08:03:16.908987,Cars.com
2015 Nissan Rogue Select S,"$10,995","120,454 mi.",Graphite Blue,Gray,All-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,JN8AS5MV4FW755423,2023-05-14 08:03:20.102958,Cars.com
2014 Volkswagen Passat 2.0L TDI SE,"$15,990","43,882 mi.",Gray,Titan Black,Front-wheel Drive,Diesel,6-Speed,2.0L I4 16V DDI DOHC Turbo Diesel,1VWBN7A3XEC009948,2023-05-14 08:03:22.429114,Cars.com
2023 Mazda CX-5 2.5 S Carbon Edition,"$32,700",5 mi.,Polymetal Gray Metallic,Black,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBCM1P0242119,2023-05-14 08:03:25.365679,Cars.com
2023 Ford F-250 XLT,"$52,765",2 mi.,Oxford White,–,Four-wheel Drive,Gasoline,10-Speed Automatic,7.3L V8 16V MPFI OHV,1FTBF2BN8PEC05154,2023-05-14 08:03:27.117595,Cars.com
2022 Ford Mustang Mach 1,"$61,430",7 mi.,Iconic Silver Metallic,Ebony,Rear-wheel Drive,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FA6P8R07N5555213,2023-05-14 08:03:30.179827,Cars.com
2023 Ford Mustang Mach-E GT,"$71,735",6 mi.,Space White Metallic,Gray,All-wheel Drive,Electric,Automatic,Electric,3FMTK4SX5PMA17016,2023-05-14 08:03:33.737000,Cars.com
2022 Mercedes-Benz A-Class A 220 4MATIC,"$44,150",12 mi.,MANUFAKTUR Patagonia Red Metallic,–,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,W1K3G4FB1NJ367750,2023-05-14 08:03:35.414041,Cars.com
2023 Mercedes-Benz EQE 350 Base 4MATIC,"$84,595",5 mi.,Polar White,–,All-wheel Drive,Electric,1-Speed Automatic,Electric,W1KEG1CB3PF027811,2023-05-14 08:03:38.454384,Cars.com
2024 Chevrolet Trax LT,"$24,680",10 mi.,Mosaic Black Metallic,Jet Black,Front-wheel Drive,Gasoline,–,3 Cylinder,KL77LHE28RC008144,2023-05-14 08:03:40.248383,Cars.com
2023 Ford Mustang Mach-E Premium,"$62,535",497 mi.,Space White Metallic,Black Onyx,All-wheel Drive,Electric,SINGLE SPEED,Electric,3FMTK3SU1PMA12251,2023-05-14 08:03:42.671929,Cars.com
2024 GMC Sierra 2500 Denali,"$118,331",2 mi.,Onyx Black,Jet Black,Four-wheel Drive,Gasoline,–,8 Cylinder,1GT49REY3RF136689,2023-05-14 08:03:44.830036,Cars.com
2023 Nissan Kicks SR,"$25,535",10 mi.,2 Tone Blue / Black,Charcoal,Front-wheel Drive,Gasoline,Automatic CVT,1.6L I4 16V MPFI DOHC,3N1CP5DV3PL528272,2023-05-14 08:03:46.588505,Cars.com
2023 Honda CR-V Hybrid Sport Touring,"$39,845",–,Lunar Silver Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H91PH800651,2023-05-14 08:03:48.521914,Cars.com
2023 Nissan Altima 2.5 SR,"$33,040",10 mi.,Scarlet Ember,Sport,Front-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,1N4BL4CVXPN386766,2023-05-14 08:03:51.300001,Cars.com
2023 Toyota 4Runner TRD Pro,"$56,782",5 mi.,Solar,Black / Graphite,Four-wheel Drive,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTELU5JR6P6142173,2023-05-14 08:03:54.419415,Cars.com
2023 GMC Terrain SLE,"$25,790",7 mi.,Ebony Twilight Metallic,Jet Black,Front-wheel Drive,Gasoline,–,1.5L I4 16V GDI DOHC Turbo,3GKALMEGXPL201348,2023-05-14 08:03:56.144782,Cars.com
2023 Hyundai Palisade SEL,"$47,890",8 mi.,Abyss Black Pearl,Gray / Black,All-wheel Drive,Gasoline,8-Speed Automatic with SHIFTRONIC,3.8L V6 24V GDI DOHC,KM8R4DGEXPU611981,2023-05-14 08:04:06.277818,Cars.com
2023 Honda Accord Hybrid Sport-L,"$35,425",10 mi.,Platinum White,Black,FWD,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,1HGCY2F76PA031930,2023-05-14 08:04:08.558121,Cars.com
2023 Nissan Titan XD PRO-4X,"$57,493",13 mi.,Baja Storm,Black,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,1N6AA1FB5PN106731,2023-05-14 08:04:11.331787,Cars.com
2023 Kia Telluride EX,"$47,050",3 mi.,Dark Moss,Black,All-wheel Drive,Gasoline,Automatic,"LAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",5XYP3DGC8PG381405,2023-05-14 08:04:13.985751,Cars.com
2023 Kia K5 EX,"$34,440",3 mi.,Sapphire Blue,Black,Front-wheel Drive,Gasoline,Automatic,"Gamma-II 1.6L I-4 gasoline direct injection, DOHC, CVVD variable",5XXG34J23PG222411,2023-05-14 08:04:16.627864,Cars.com
2024 BMW X7 xDrive40i,"$89,995",11 mi.,Skyscraper Gray Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,5UX23EM00R9S07986,2023-05-14 08:04:19.937096,Cars.com
2023 Mercedes-Benz CLA 250 Base 4MATIC,"$48,875",5 mi.,Polar White,–,AWD,Gasoline,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1K5J4HB4PN389972,2023-05-14 08:04:23.390055,Cars.com
2023 Genesis GV70 2.5T,"$54,575",14 mi.,Red,Obsidian Black,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,KMUMADTB2PU116271,2023-05-14 08:04:26.775745,Cars.com
2023 Chevrolet Colorado Z71,"$46,655",1 mi.,Sand Dune Metallic,Jet Black,Four-wheel Drive,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,1GCPTDEK2P1143432,2023-05-14 08:04:30.161841,Cars.com
2022 Ford Explorer ST-Line,"$44,339","10,878 mi.",Blue,Ebony,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMSK8KH9NGB12763,2023-05-14 08:04:32.957605,Cars.com
2022 Ford Explorer Timberline,"$48,300","4,043 mi.",Agate Black Metallic,Deep Cypress,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMSK8JH0NGC15362,2023-05-14 08:04:36.629354,Cars.com
2023 Ford F-250 XLT,"$65,860",5 mi.,Rapid Red Metallic Tinted Clearcoat,Medium Dark Slate,Four-wheel Drive,Gasoline,10-Speed Automatic,7.3L V8 16V MPFI OHV,1FT8W2BN5PEC69596,2023-05-14 08:04:38.921242,Cars.com
2023 Toyota 4Runner 40th Anniversary Special Edition,"$48,158",–,White,Black / Graphite,4WD,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTEUU5JR2P6154227,2023-05-14 08:04:41.235307,Cars.com
2023 Toyota 4Runner TRD Off Road Premium,"$47,807",–,Lunar Rock,Black,Four-wheel Drive,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTERU5JR3P6146286,2023-05-14 08:04:43.115475,Cars.com
2023 Toyota 4Runner TRD Pro,"$56,202",–,White,Black / Graphite,4WD,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTELU5JR1P6158541,2023-05-14 08:04:45.388835,Cars.com
2023 Toyota 4Runner Limited,"$53,763",–,Magnetic Gray Metallic,Black / Graphite,4WD,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTEKU5JRXP6157495,2023-05-14 08:04:47.660843,Cars.com
2023 Toyota 4Runner TRD Off Road Premium,"$47,504",5 mi.,Magnetic Gray Metallic,Black / Graphite,Four-wheel Drive,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTERU5JR0P6149260,2023-05-14 08:04:50.358709,Cars.com
2023 Toyota 4Runner Limited,"$53,897",–,Classic Silver Metallic,Black / Graphite,Four-wheel Drive,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTEKU5JR0P6154573,2023-05-14 08:04:53.362858,Cars.com
2023 Hyundai Santa Fe HEV Limited,"$43,975",5 mi.,Portofino Gray,Black,AWD,Hybrid,6-Speed Automatic with SHIFTRONIC,1.6L I4 16V GDI DOHC Turbo Hybrid,5NMS5DA11PH009504,2023-05-14 08:04:57.177825,Cars.com
2023 Dodge Charger Scat Pack,"$53,490",1 mi.,B5 Blue Pearlcoat,Black,Rear-wheel Drive,Gasoline,Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ6PH583743,2023-05-14 08:05:00.163891,Cars.com
2023 Honda CR-V Hybrid Sport Touring,"$39,845",10 mi.,Meteorite,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH801720,2023-05-14 08:05:08.410692,Cars.com
2023 Lincoln Aviator Reserve AWD,"$77,920",23 mi.,Ceramic Pearl Metallic,Sandstone,All-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5LM5J7XC3PGL20855,2023-05-14 08:05:11.546283,Cars.com
2023 Nissan Frontier S,"$34,008",12 mi.,Black,Charcoal,Four-wheel Drive,Gasoline,Automatic,3.8L V6 24V GDI DOHC,1N6ED1CM7PN638805,2023-05-14 08:05:13.644505,Cars.com
2007 Porsche 911 Turbo,"$123,995","12,016 mi.",Black,Black,All-wheel Drive,Gasoline,6-Speed Manual,3.6L H6 24V MPFI DOHC Twin Turbo,WP0AD299X7S786832,2023-05-14 08:05:16.243222,Cars.com
2023 Kia Telluride SX X-Pro,"$55,985",20 mi.,Glacial White Pearl,Black,All-wheel Drive,Gasoline,Automatic,3.8L V6 24V GDI DOHC,5XYP5DGC1PG398749,2023-05-14 08:05:18.306405,Cars.com
2023 Mazda CX-5 2.5 S Premium,"$35,745",3 mi.,Rhodium White Metallic,Black,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBDM8P0235506,2023-05-14 08:05:21.443142,Cars.com
2023 Kia Telluride S,"$42,475",3 mi.,Glacial White Pearl,Black,All-wheel Drive,Gasoline,Automatic,"LAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",5XYP6DGC5PG385757,2023-05-14 08:05:23.550111,Cars.com
2023 Ford Expedition King Ranch,"$87,085",9 mi.,Black Metallic,Java,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJU1P83PEA34307,2023-05-14 08:05:27.709120,Cars.com
2023 Kia Telluride SX-P,"$52,185",14 mi.,Gravity Gray,Black,All-wheel Drive,Gasoline,Automatic,"LAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",5XYP5DGC3PG337550,2023-05-14 08:05:30.079147,Cars.com
2023 Kia Telluride SX,"$53,845",3 mi.,Wolf Gray,Black,All-wheel Drive,Gasoline,Automatic,"LAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",5XYP5DGC7PG381499,2023-05-14 08:05:32.582809,Cars.com
2023 BMW X3 M40i,"$70,870",10 mi.,Mineral White Metallic,Cognac,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UX83DP05P9R51967,2023-05-14 08:05:35.110641,Cars.com
2023 Nissan Armada Platinum,"$74,330",–,Black,Wheat,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,JN8AY2DB3P9835654,2023-05-14 08:05:38.514669,Cars.com
2023 Genesis GV70 2.5T,"$58,395",12 mi.,Vik Black,Blue,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,KMUMADTB8PU117733,2023-05-14 08:05:40.769723,Cars.com
